"","Country","Region","Happiness Score_2015","Explained by: GDP per capita_2015","Explained by: Social support_2015","Explained by: Healthy life expectancy_2015","Explained by: Freedom to make life choices_2015","Explained by: Generosity_2015","Explained by: Perceptions of corruption_2015","Happiness Score_2016","Explained by: GDP per capita_2016","Explained by: Social support_2016","Explained by: Healthy life expectancy_2016","Explained by: Freedom to make life choices_2016","Explained by: Generosity_2016","Explained by: Perceptions of corruption_2016","Happiness Score_2017","Explained by: GDP per capita_2017","Explained by: Social support_2017","Explained by: Healthy life expectancy_2017","Explained by: Freedom to make life choices_2017","Explained by: Generosity_2017","Explained by: Perceptions of corruption_2017","Happiness Score_2018","Explained by: GDP per capita_2018","Explained by: Social support_2018","Explained by: Healthy life expectancy_2018","Explained by: Freedom to make life choices_2018","Explained by: Generosity_2018","Explained by: Perceptions of corruption_2018","Happiness Score_2019","Explained by: GDP per capita_2019","Explained by: Social support_2019","Explained by: Healthy life expectancy_2019","Explained by: Freedom to make life choices_2019","Explained by: Generosity_2019","Explained by: Perceptions of corruption_2019","Happiness Score_2020","Explained by: GDP per capita_2020","Explained by: Social support_2020","Explained by: Healthy life expectancy_2020","Explained by: Freedom to make life choices_2020","Explained by: Generosity_2020","Explained by: Perceptions of corruption_2020","Happiness Score_2021","Explained by: GDP per capita_2021","Explained by: Social support_2021","Explained by: Healthy life expectancy_2021","Explained by: Freedom to make life choices_2021","Explained by: Generosity_2021","Explained by: Perceptions of corruption_2021","Happiness Score_2022","Explained by: GDP per capita_2022","Explained by: Social support_2022","Explained by: Healthy life expectancy_2022","Explained by: Freedom to make life choices_2022","Explained by: Generosity_2022","Explained by: Perceptions of corruption_2022"
"117","Romania","Central and Eastern Europe",5.12400007247925,1.04344642162323,0.885875999927521,0.76890105009079,0.350677639245987,0.137477651238441,0.00648649409413338,5.52799987792969,1.16970002651215,0.728026032447815,0.676020920276642,0.367121756076813,0.128893196582794,0.00678875576704741,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893003,5.94519996643066,1.11562395095825,1.21884047985077,0.726384043693542,0.527521133422852,0.0875548273324966,0.000692288798745722,6.06969976425171,1.16184890270233,1.23150312900543,0.824790239334106,0.462159186601639,0.082633949816227,0.00477897003293037,6.12370014190674,1.12040162086487,1.19443809986115,0.792294859886169,0.53485232591629,0.0681816190481186,0.000829568831250072,6.1399998664856,1.27465057373047,0.832038342952728,0.594536423683167,0.56375128030777,0.0448081195354462,0.000682874000631273,6.47700023651123,1.71889281272888,1.00615191459656,0.655409157276154,0.605255603790283,0.0392720475792885,0.00614350847899914
"118","Russia","Commonwealth of Independent States",5.71600008010864,1.13764417171478,1.23616874217987,0.669261455535889,0.366788387298584,0.001988589996472,0.0300499573349953,5.85599994659424,1.23228192329407,1.05260813236237,0.589905679225922,0.326817214488983,0.0273612700402737,0.0358568020164967,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,5.80970001220703,1.15109670162201,1.47903835773468,0.598529040813446,0.39928874373436,0.0650565624237061,0.0253718998283148,5.64790010452271,1.18310880661011,1.45237040519714,0.726103067398071,0.334281355142593,0.0820480585098267,0.0308597218245268,5.5460000038147,1.12699961662292,1.37864410877228,0.680445909500122,0.399499595165253,0.0990419164299965,0.0456993617117405,5.47720003128052,1.24146378040314,0.991885662078857,0.511002480983734,0.409223914146423,0.115271724760532,0.0604077987372875,5.45860004425049,1.68470549583435,1.09519565105438,0.586234927177429,0.401401668787003,0.117228284478188,0.0798202380537987
"119","Rwanda","Sub-Saharan Africa",3.46499991416931,0.222077623009682,0.773701369762421,0.428643405437469,0.592007040977478,0.226278856396675,0.551911473274231,3.51500010490417,0.328461110591888,0.615862488746643,0.318650215864182,0.543197214603424,0.235517174005508,0.505208671092987,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,3.40809988975525,0.33232781291008,0.895639598369598,0.400057256221771,0.635907590389252,0.199709638953209,0.444492012262344,3.33380007743835,0.359488189220428,0.711047768592834,0.613995850086212,0.554569780826569,0.216654509305954,0.41082575917244,3.31229996681213,0.343242675065994,0.52287632226944,0.572383284568787,0.604087889194489,0.235704988241196,0.485542476177216,3.41470003128052,0.363624453544617,0.202183172106743,0.406968891620636,0.626681387424469,0.227456644177437,0.492669284343719,NA,NA,NA,NA,NA,NA,NA
"120","Saudi Arabia","Middle East and North Africa",6.41099977493286,1.39541029930115,1.08392512798309,0.720251142978668,0.310480087995529,0.137056306004524,0.325243383646011,6.37900018692017,1.48952639102936,0.848290741443634,0.592667281627655,0.37904104590416,0.154574409127235,0.300076246261597,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,6.37090015411377,1.37876451015472,1.33127129077911,0.633422315120697,0.508955597877502,0.098344124853611,0.126835703849792,6.37470006942749,1.40289330482483,1.35654103755951,0.795224368572235,0.438691198825836,0.080383412539959,0.132059454917908,6.4064998626709,1.33432853221893,1.30995011329651,0.759818136692047,0.548477470874786,0.0874406844377518,0.163322314620018,6.49399995803833,1.43493235111237,0.964136719703674,0.570848643779755,0.602958202362061,0.0904901772737503,0.162835747003555,6.52279996871948,1.869549036026,1.09208345413208,0.576846122741699,0.650788366794586,0.0784182623028755,0.180372789502144
"121","Senegal","Sub-Saharan Africa",3.90400004386902,0.364975124597549,0.976186156272888,0.435401499271393,0.367718875408173,0.208425030112267,0.107132978737354,4.2189998626709,0.443137019872665,0.774159669876099,0.404569447040558,0.310557931661606,0.191033840179443,0.116809211671352,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,4.63110017776489,0.428906142711639,1.1174556016922,0.433223307132721,0.405548244714737,0.137994185090065,0.08212511241436,4.6810998916626,0.449954122304916,1.13423919677734,0.571083545684814,0.291670978069305,0.153075277805328,0.0717843025922775,4.98080015182495,0.504061818122864,0.954593420028687,0.518391907215118,0.352400898933411,0.16439713537693,0.0818659365177155,5.13180017471313,0.518067181110382,0.55789977312088,0.356634497642517,0.381438076496124,0.157963886857033,0.0883792489767075,5.04610013961792,0.9327192902565,0.529772043228149,0.4471515417099,0.493696808815002,0.143403217196465,0.0806675404310226
"122","Serbia","Central and Eastern Europe",5.1230001449585,0.920528888702393,1.00964498519897,0.748359501361847,0.201068520545959,0.192308962345123,0.0261703934520483,5.17700004577637,1.03437089920044,0.813292860984802,0.645801246166229,0.157181978225708,0.207365170121193,0.0433913953602314,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,5.39820003509521,0.974698424339294,1.36926162242889,0.684971570968628,0.287865787744522,0.133780434727669,0.0428980737924576,5.60300016403198,1.00381052494049,1.38296008110046,0.854364573955536,0.282373487949371,0.136767998337746,0.0385996252298355,5.77820014953613,0.988181829452515,1.32744896411896,0.828403294086456,0.395428419113159,0.150282889604568,0.0594471469521523,6.07789993286133,1.10097527503967,0.923801600933075,0.633751571178436,0.481639057397842,0.189403891563416,0.0663523524999619,6.17799997329712,1.54974937438965,1.08556914329529,0.658300936222076,0.545860469341278,0.21863941848278,0.088397316634655
"123","Sierra Leone","Sub-Saharan Africa",4.50699996948242,0.33023926615715,0.95570832490921,0,0.408400595188141,0.214882418513298,0.087857723236084,4.63500022888184,0.364854156970978,0.628003418445587,0,0.306851208209991,0.238972127437592,0.0819622650742531,4.70900011062622,0.36842092871666,0.984136044979095,0.00556475389748812,0.318697690963745,0.293040901422501,0.0710951760411263,4.5706000328064,0.25615593791008,0.813196539878845,0,0.355181574821472,0.238217696547508,0.0530226714909077,4.37419986724854,0.268262028694153,0.841168701648712,0.242186084389687,0.309131562709808,0.252243548631668,0.0450188256800175,3.92639994621277,0.240560382604599,0.747984945774078,0.203953966498375,0.382027685642242,0.257647007703781,0.0479409359395504,3.84940004348755,0.278990715742111,0.377123981714249,0.099918894469738,0.408161073923111,0.242766618728638,0.0465280637145042,3.57399988174438,0.685703933238983,0.416054040193558,0.272843718528748,0.387028694152832,0.202280551195145,0.0545014403760433
"124","Singapore","Southeast Asia",6.7979998588562,1.52185893058777,1.02000200748444,1.02524745464325,0.5425164103508,0.311048716306686,0.492099642753601,6.73899984359741,1.64554643630981,0.867575824260712,0.947188198566437,0.48769935965538,0.327062636613846,0.469869375228882,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,6.34320020675659,1.52929365634918,1.45116543769836,1.00800096988678,0.631345570087433,0.261410057544708,0.456969857215881,6.26200008392334,1.5715754032135,1.46321785449982,1.14089918136597,0.556060552597046,0.27058818936348,0.452686846256256,6.37709999084473,1.51958012580872,1.39545691013336,1.13781428337097,0.635317206382751,0.218770906329155,0.533162236213684,6.37650012969971,1.69539105892181,1.01899373531342,0.896813750267029,0.66372150182724,0.175952792167664,0.546775341033936,6.48019981384277,2.14861392974854,1.12739944458008,0.850874423980713,0.67157906293869,0.162696003913879,0.586828052997589
"125","Slovakia","Central and Eastern Europe",5.99499988555908,1.16890871524811,1.26998710632324,0.789021849632263,0.317511349916458,0.168928235769272,0.0343088209629059,6.07800006866455,1.27972555160522,1.08267569541931,0.703670501708984,0.233906134963036,0.138371661305428,0.0294731929898262,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,6.17339992523193,1.20988953113556,1.53704690933228,0.77614039182663,0.353522151708603,0.117602199316025,0.0138204284012318,6.1975998878479,1.24622917175293,1.50434267520905,0.88075065612793,0.334179162979126,0.120920322835445,0.0140404691919684,6.28060007095337,1.19483768939972,1.4243311882019,0.853465259075165,0.423542529344559,0.116729773581028,0.0112914405763149,6.33090019226074,1.30442178249359,1.06624519824982,0.652658581733704,0.468032330274582,0.10723027586937,0.0179167669266462,6.39069986343384,1.73646795749664,1.2317316532135,0.707314312458038,0.478649288415909,0.117824986577034,0.0245377719402313
"126","Slovenia","Central and Eastern Europe",5.84800004959106,1.18497788906097,1.27384757995605,0.873371183872223,0.608553171157837,0.253281354904175,0.0378686375916004,5.76800012588501,1.29946506023407,1.05613458156586,0.79150801897049,0.531639218330383,0.257384598255157,0.0363498143851757,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,5.9475998878479,1.21904361248016,1.50639021396637,0.856209993362427,0.63292533159256,0.159796267747879,0.05095100030303,6.11770009994507,1.25789213180542,1.52315175533295,0.953217923641205,0.563892960548401,0.144280105829239,0.0572257228195667,6.36339998245239,1.20865249633789,1.46467769145966,0.932548046112061,0.646700143814087,0.145701497793198,0.0765163227915764,6.46070003509521,1.36046707630157,1.0934864282608,0.721919178962708,0.689796209335327,0.122297622263432,0.0847275406122208,6.63009977340698,1.80962073802948,1.24905717372894,0.769412755966187,0.684525966644287,0.117814019322395,0.114752367138863
"127","Somaliland region","Sub-Saharan Africa",5.05700016021729,0.188465937972069,0.951519906520844,0.438726186752319,0.465816885232925,0.503183722496033,0.399283289909363,5.05700016021729,0.255577445030212,0.758623480796814,0.331076115369797,0.39129501581192,0.514790654182434,0.367940843105316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","South Africa","Sub-Saharan Africa",4.64200019836426,0.92049252986908,1.18468332290649,0.276875376701355,0.332065731287003,0.119730778038502,0.0888429954648018,4.45900011062622,1.02416491508484,0.960533559322357,0.186109960079193,0.424825251102448,0.136563375592232,0.0841543823480606,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,4.72399997711182,0.939913749694824,1.41044843196869,0.32999050617218,0.516484677791595,0.103360451757908,0.0557455532252789,4.7221999168396,0.959680497646332,1.35067617893219,0.469167590141296,0.389366805553436,0.129988983273506,0.0547276213765144,4.81409978866577,0.902140438556671,1.25908625125885,0.407034069299698,0.434781819581985,0.126406848430634,0.0595021396875381,4.95639991760254,0.966799676418304,0.894595921039581,0.265375316143036,0.447348982095718,0.144268721342087,0.0508647784590721,5.1939001083374,1.42495012283325,1.0882340669632,0.361248314380646,0.442120552062988,0.0888658091425896,0.0460397340357304
"129","South Korea","East Asia",5.98400020599365,1.24460577964783,0.957741916179657,0.965375900268555,0.332084715366364,0.185565486550331,0.0785693004727364,5.83500003814697,1.35947680473328,0.721935272216797,0.886448502540588,0.251680880784988,0.18823616206646,0.0771562680602074,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,5.87489986419678,1.26630747318268,1.20415663719177,0.954651772975922,0.244194462895393,0.174520090222359,0.051438607275486,5.894700050354,1.30099880695343,1.21918988227844,1.03557527065277,0.159300208091736,0.174697116017342,0.0560331419110298,5.87239980697632,1.24530065059662,1.13356053829193,1.02254259586334,0.25935634970665,0.170303866267204,0.0945962816476822,5.84549999237061,1.40286338329315,0.75803130865097,0.800659894943237,0.353206396102905,0.133676022291183,0.135363101959229,5.93510007858276,1.85108876228333,0.88576728105545,0.84149444103241,0.413862645626068,0.111005038022995,0.176065281033516
"130","Spain","Western Europe",6.3289999961853,1.23011457920074,1.31378757953644,0.955624520778656,0.459506005048752,0.182272776961327,0.0639830231666565,6.36100006103516,1.34253084659576,1.12944674491882,0.878959715366364,0.375447303056717,0.176649779081345,0.0613727942109108,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,6.30989980697632,1.25081467628479,1.53764295578003,0.9648756980896,0.448841243982315,0.141555830836296,0.0738247558474541,6.35410022735596,1.28578567504883,1.4844331741333,1.0618714094162,0.362093269824982,0.152895793318748,0.0785652622580528,6.40089988708496,1.23053526878357,1.4210991859436,1.05134308338165,0.425983816385269,0.165305480360985,0.109579779207706,6.49069976806641,1.37496173381805,1.05657756328583,0.825860023498535,0.461932867765427,0.135043382644653,0.12375995516777,6.47629976272583,1.80808353424072,1.21101498603821,0.808363318443298,0.50494658946991,0.101461537182331,0.149013891816139
"131","Sri Lanka","South Asia",4.27099990844727,0.83523690700531,1.01905202865601,0.708063185214996,0.537261784076691,0.408277004957199,0.0917852744460106,4.41499996185303,0.97317761182785,0.847829461097717,0.620068311691284,0.508171796798706,0.469782918691635,0.0796380490064621,4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,4.47060012817383,0.917850196361542,1.31435775756836,0.671899437904358,0.585125803947449,0.307415723800659,0.0501836724579334,4.36590003967285,0.949410378932953,1.26486444473267,0.831414043903351,0.470386654138565,0.24393492937088,0.0465250834822655,4.3270001411438,0.897986948490143,1.19494009017944,0.792036712169647,0.528632462024689,0.252666145563126,0.0494445636868477,4.32499980926514,0.990495562553406,0.81985467672348,0.592772722244263,0.559372246265411,0.239397510886192,0.0486344657838345,4.3621997833252,1.4154816865921,0.933607935905457,0.660494387149811,0.528920531272888,0.149724259972572,0.0785673409700394
"132","Sudan","Sub-Saharan Africa",4.55000019073486,0.521073341369629,1.01403892040253,0.368780583143234,0.10081397742033,0.190615996718407,0.146604657173157,4.13899993896484,0.63069075345993,0.819282650947571,0.297591149806976,0,0.180774539709091,0.100387059152126,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,4.13870000839233,0.605020046234131,1.24004352092743,0.312173068523407,0.0162349790334702,0.13390251994133,0.0817515254020691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Suriname","Latin America and Caribbean",6.26900005340576,0.995341539382935,0.97199684381485,0.608196020126343,0.596572875976562,0.169908493757248,0.136332422494888,6.26900005340576,1.09685885906219,0.778662621974945,0.509333729743958,0.522341907024384,0.166648671030998,0.126921430230141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
